month,escola,slug,tutores,second_tutor,docs_fiscais (15_dias),mensagens (7_dias),atividades (7_dias),relatorios_diarios (7_dias),avaliacoes (7_dias),menus (7_dias),eventos (15_dias)
Jan,100 + Centro de Estudos de Murça,https://centrodeestudosdemurca.educabiz.com,49.0,0.0,31.0,14.0,0.0,78.0,0.0,0.0,0.0
Jan,8Tempos-Associação Cultural,https://8tempos.educabiz.com,0.0,0.0,94.0,108.0,0.0,0.0,0.0,0.0,0.0
Jan,ABLA,https://abla.educabiz.com,411.0,104.0,152.0,1988.0,3.0,490.0,0.0,5.0,0.0
Jan,Abrigo Infantil das Laranjeiras - SCMSJM,https://abrigoinfantildaslaranjeiras.educabiz.com,87.0,0.0,0.0,217.0,18.0,193.0,0.0,0.0,0.0
Jan,Academia CIPE,https://eborlandia.educabiz.com,0.0,0.0,144.0,93.0,0.0,0.0,0.0,0.0,0.0
Jan,Academia da Alegria - Escola da Floresta,https://academiadaalegria2.educabiz.com,80.0,7.0,11.0,283.0,1.0,128.0,0.0,0.0,0.0
Jan,Academia das Letras,https://academiadasletras.educabiz.com,0.0,0.0,88.0,12.0,0.0,0.0,0.0,0.0,0.0
Jan,Academia de Inglês,https://academiadeingles.educabiz.com,82.0,0.0,119.0,68.0,3.0,59.0,0.0,0.0,0.0
Jan,"Academia do Estudo de Gueifães ""O Matraquinas""",https://academia-do-estudo-de-gueifaes-e-babysitting.educabiz.com,7.0,0.0,21.0,14.0,0.0,0.0,0.0,0.0,0.0
Jan,Academia do Sorriso,https://academiadosorriso.educabiz.com,34.0,1.0,120.0,19.0,0.0,0.0,0.0,0.0,0.0
Jan,Academia dos Peixinhos,https://academiadospeixinhos.educabiz.com,64.0,11.0,86.0,438.0,0.0,147.0,0.0,0.0,0.0
Jan,Academia dos Pimpolhos,https://academiadospimpolhos.educabiz.com,127.0,58.0,0.0,1387.0,0.0,443.0,0.0,3.0,0.0
Jan,Academia Morangos Damaia,https://morangosdamaia.educabiz.com,10.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
Jan,"Academia Ramos Pinto ""O Papagaio""",https://academiaramospintoopapagaio.educabiz.com,180.0,15.0,123.0,630.0,8.0,279.0,0.0,0.0,1.0
Jan,Academia Sonhar e Crescer,https://academiasonharecrescer.educabiz.com,83.0,8.0,0.0,669.0,7.0,172.0,0.0,0.0,0.0
Jan,Academia TPC,https://academiatpc.educabiz.com,46.0,2.0,30.0,207.0,0.0,0.0,0.0,0.0,0.0
Jan,ACARF,https://acarf.educabiz.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan,A CAsA,https://acasa.educabiz.com,7.0,0.0,69.0,18.0,0.0,0.0,0.0,0.0,0.0
Jan,A Casa do Coelhinho,https://acasadocoelhinho.educabiz.com,46.0,3.0,30.0,50.0,0.0,78.0,0.0,0.0,0.0
Jan,A Casinha Brincalhona,https://casinhabrincalhona.educabiz.com,42.0,6.0,27.0,121.0,1.0,88.0,0.0,0.0,0.0
Jan,ACD da Chelagoense,https://chelagoense.educabiz.com,434.0,40.0,381.0,1256.0,3.0,464.0,0.0,0.0,0.0
Jan,A Chiquinha,https://associacao-infantario-jardim-de-infancia-chiquinha.educabiz.com,38.0,1.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0
Jan,A Chupeta,https://achupeta.educabiz.com,78.0,18.0,37.0,266.0,5.0,178.0,0.0,0.0,0.0
Jan,A Cidade dos Brinquedos,https://cidadedosbrinquedos.educabiz.com,360.0,29.0,423.0,601.0,1.0,919.0,0.0,0.0,0.0
Jan,ACIJR,https://acijr.educabiz.com,160.0,38.0,0.0,591.0,0.0,454.0,0.0,3.0,0.0
Jan,ACIP Saúde - Joane,https://acip-joane.educabiz.com,80.0,0.0,132.0,83.0,0.0,18.0,0.0,0.0,0.0
Jan,ACIP Saúde - Lousada,https://acip-lousada.educabiz.com,0.0,0.0,12.0,19.0,0.0,43.0,0.0,0.0,0.0
Jan,A Colmeia das Abelhinhas,https://colmeiadasabelhinhas.educabiz.com,77.0,2.0,57.0,435.0,9.0,267.0,0.0,0.0,0.0
Jan,A Creche da Maria,https://aescoladamaria.educabiz.com,35.0,12.0,43.0,99.0,0.0,95.0,0.0,0.0,0.0
Jan,A Crescer e Já Crescidos,https://crescerejacrescidos.educabiz.com,53.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
Jan,ACR Fornelos,https://acr-fornelos.educabiz.com,326.0,11.0,0.0,88.0,6.0,989.0,0.0,0.0,0.0
Jan,ADCR Ramos Pinto,https://adcrramospinto.educabiz.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan,ADDA,https://adda.educabiz.com,51.0,0.0,116.0,134.0,0.0,0.0,0.0,0.0,0.0
Jan,A. D. Progresso e Vida,https://progressoevida.educabiz.com,69.0,15.0,0.0,576.0,10.0,170.0,0.0,2.0,0.0
Jan,A Escolinha,https://aescolinha.educabiz.com,75.0,5.0,69.0,198.0,0.0,186.0,0.0,0.0,0.0
Jan,AFARIT - Infantário e CATL O Carrocel,https://ocarrocel.educabiz.com,112.0,4.0,89.0,14.0,0.0,331.0,0.0,1.0,0.0
Jan,A Gaivota - Centro Humanitário de Tavira,https://agaivotachtavira.educabiz.com,83.0,3.0,0.0,34.0,0.0,121.0,0.0,0.0,0.0
Jan,A Girafa,https://agirafa.educabiz.com,127.0,21.0,105.0,270.0,7.0,289.0,0.0,0.0,0.0
Jan,AIJICM,https://assijicm.educabiz.com,115.0,43.0,118.0,829.0,0.0,73.0,0.0,0.0,0.0
Jan,AISTN,https://aistn.educabiz.com,194.0,22.0,0.0,1061.0,6.0,619.0,0.0,3.0,2.0
Jan,"AJDS-EducaInvest, Lda.",https://ajds.educabiz.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan,AJEM - Infantário Primaveras,https://primaveras.educabiz.com,118.0,63.0,102.0,167.0,12.0,380.0,0.0,0.0,0.0
Jan,AJPAS,https://ajpas.educabiz.com,25.0,0.0,0.0,6.0,0.0,71.0,0.0,0.0,0.0
Jan,Alicerce Didático,https://alicercedidatico.educabiz.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan,Amadora School,https://amadoraschool.educabiz.com,68.0,15.0,134.0,534.0,0.0,47.0,0.0,0.0,0.0
Jan,AMAR21,https://amar21.educabiz.com,85.0,1.0,9.0,219.0,0.0,9.0,0.0,0.0,0.0
Jan,A Minha Casinha,https://aminhacasinha.educabiz.com,58.0,2.0,0.0,156.0,3.0,66.0,0.0,1.0,0.0
Jan,A Mutualidade de Santa Maria,https://mutualidade.educabiz.com,195.0,21.0,85.0,1173.0,40.0,578.0,0.0,0.0,0.0
Jan,Aniquibébé,https://aniquibebe.educabiz.com,153.0,36.0,0.0,263.0,1.0,189.0,0.0,0.0,0.0
Jan,Anos Verdes Centro de Aprendizagem,https://anosverdes.educabiz.com,59.0,0.0,56.0,152.0,1.0,112.0,0.0,0.0,0.0
Jan,APDIS,https://apdis.educabiz.com,59.0,10.0,51.0,112.0,23.0,115.0,0.0,0.0,0.0
Jan,A.P.D.R.B. – CI Moinho de Vento,https://apdrb.educabiz.com,187.0,13.0,0.0,830.0,4.0,354.0,0.0,7.0,2.0
Jan,APECPOUSOS,https://apecpousos.educabiz.com,54.0,4.0,103.0,25.0,0.0,0.0,0.0,0.0,0.0
Jan,APEECV,https://apeecv.educabiz.com,11.0,0.0,35.0,50.0,0.0,0.0,0.0,0.0,1.0
Jan,APEE JI de Samo Vila Cova,https://jisamovilacova.educabiz.com,57.0,0.0,56.0,187.0,0.0,0.0,0.0,0.0,0.0
Jan,APEE Malvarosa,https://apeemalvarosa.educabiz.com,245.0,10.0,213.0,570.0,0.0,0.0,0.0,0.0,0.0
Jan,APPA,https://appa.educabiz.com,105.0,29.0,51.0,295.0,0.0,283.0,0.0,0.0,2.0
Jan,Aprender À Grande,https://aprender-a-grande.educabiz.com,33.0,3.0,5.0,106.0,0.0,0.0,0.0,0.0,0.0
Jan,A Previdência Portuguesa,https://jipp.educabiz.com,127.0,64.0,72.0,1027.0,0.0,336.0,0.0,0.0,0.0
Jan,APROS,https://apros.educabiz.com,72.0,4.0,0.0,86.0,0.0,47.0,0.0,0.0,1.0
Jan,A. P. S. P. BAIRRO DO ALEIXO,https://apspbairroaleixo.educabiz.com,0.0,0.0,32.0,11.0,0.0,0.0,0.0,0.0,0.0
Jan,AP Vila d'Este,https://apviladeste.educabiz.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan,Aquarium Coimbra,https://aquariumcoimbra.educabiz.com,138.0,74.0,61.0,450.0,0.0,408.0,0.0,0.0,2.0
Jan,Aqui Há Ama,https://aquihaama.educabiz.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan,Armazém 4,https://armazem4.educabiz.com,93.0,6.0,58.0,159.0,0.0,49.0,0.0,0.0,2.0
Jan,ARPIAC - Creche Amor Perfeito,https://amorperfeito.educabiz.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan,Arte de Crescer,https://artedecrescer.educabiz.com,73.0,2.0,66.0,274.0,7.0,230.0,0.0,0.0,0.0
Jan,ArteRitmo,https://arteritmo.educabiz.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan,ASAS Ponte do Rol,https://asasponterol.educabiz.com,36.0,0.0,14.0,248.0,8.0,119.0,0.0,0.0,0.0
Jan,A Semente - Centro Humanitário de Tavira,https://asementechtavira.educabiz.com,107.0,24.0,0.0,293.0,2.0,167.0,0.0,0.0,0.0
Jan,AS Formação,https://asformacao.educabiz.com,143.0,40.0,42.0,564.0,0.0,151.0,0.0,0.0,0.0
Jan,ASR Guerra Junqueiro,https://crechemaemaria.educabiz.com,55.0,12.0,14.0,279.0,0.0,159.0,0.0,0.0,0.0
Jan,ASSCDRANS,https://asscdrans.educabiz.com,102.0,1.0,225.0,602.0,3.0,166.0,0.0,0.0,0.0
Jan,Ass. das Creches de S. Vicente de Paulo,https://osol.educabiz.com,83.0,4.0,88.0,28.0,1.0,0.0,0.0,0.0,0.0
Jan,A. S. S. de Benfica do Ribatejo,https://assbr.educabiz.com,38.0,5.0,0.0,4.0,3.0,121.0,0.0,2.0,0.0
Jan,ASSOALFRA,https://assoalfra.educabiz.com,100.0,5.0,0.0,416.0,3.0,111.0,0.0,0.0,2.0
Jan,Associação Abraço,https://abraco.educabiz.com,53.0,3.0,13.0,300.0,0.0,87.0,0.0,1.0,1.0
Jan,Associação Amigos da Damaia,https://aad.educabiz.com,89.0,1.0,0.0,300.0,2.0,230.0,0.0,0.0,0.0
Jan,ASSOCIAÇÃO CULTURAL SOCIAL FREGUESIA DE PANOIAS,https://acsfpanoias.educabiz.com,17.0,0.0,0.0,6.0,2.0,52.0,0.0,0.0,0.0
Jan,Associação de Fomento Amarense,https://afa-ipss.educabiz.com,89.0,4.0,15.0,82.0,5.0,161.0,0.0,2.0,0.0
Jan,Associação de Solidariedade Social de Travanca,https://associacao-de-solidariedade-social-de-travanca.educabiz.com,0.0,0.0,39.0,48.0,0.0,0.0,0.0,0.0,0.0
Jan,Associação Feijoeiro Mágico,https://infantariosvicente.educabiz.com,106.0,21.0,365.0,375.0,0.0,274.0,0.0,0.0,0.0
Jan,Associação Flic-Flac,https://flic-flac.educabiz.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan,Associação Humanidades,https://humanus.educabiz.com,34.0,4.0,21.0,64.0,0.0,78.0,0.0,0.0,0.0
Jan,Associação Jardim Infantil de Ferrel,https://infantarioferrel.educabiz.com,140.0,11.0,0.0,365.0,0.0,403.0,0.0,0.0,0.0
Jan,Associação Luiz Pereira Motta,https://alpm.educabiz.com,315.0,29.0,0.0,1439.0,0.0,377.0,0.0,0.0,0.0
Jan,Associação Moimentense de Apoio,https://amai.educabiz.com,90.0,1.0,58.0,678.0,0.0,325.0,0.0,4.0,2.0
Jan,"Associação ""O Saltarico""",https://osaltarico.educabiz.com,344.0,14.0,0.0,1008.0,4.0,219.0,0.0,0.0,2.0
Jan,Associação Os Cucos,https://oscucos.educabiz.com,199.0,5.0,417.0,569.0,9.0,250.0,0.0,0.0,0.0
Jan,ASSOCIAÇÃO O SOCORRO GAEIRENSE,https://socorrogaeirense.educabiz.com,58.0,6.0,0.0,50.0,0.0,108.0,0.0,0.0,0.0
Jan,Associação Rumo à Vida,https://rumoavida.educabiz.com,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
Jan,Associação Social de Pereira,https://asp.educabiz.com,42.0,18.0,0.0,740.0,2.0,108.0,0.0,0.0,1.0
Jan,Assoc. Solid. Social Dornelas do Zêzere,https://assdz.educabiz.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan,Ass. para o Desenv. de Galegos,https://apdgalegos.educabiz.com,42.0,4.0,0.0,95.0,1.0,97.0,0.0,0.0,0.0
